iter	Passed	Remaining
0	6	647
1	13	637
2	22	730
3	28	691
4	35	682
5	43	679
6	58	770
7	66	764
8	72	734
9	98	883
10	107	871111	118	868
12	129	863
13	136	840
14	144	818
15	150	790
16	156	765
17	162	741
18	168	720
19	174	698
20	182	686
21	188	666
22	194	649
23	197	624
24	202	608
25	208	594
26	214	579
27	219	563
28	225	552
29	232	541
30	237	529
31	243	516
32	249	506
33	255	495
34	260	484
35	266	473
36	271	463
37	277	453
38	283	443
39	289	434
40	296	426
41	302	417
42	307	407
43	313	399
44	320	391
45	323	380
46	327	369
47	330	357
48	332	49	349	335	50	332	319
51	339	313
52	352	356	53	353	363	54	354	368	55	355	387	304
56	396	298
57	402	291
58	408	283
59	414	276
60	420	268
61	427	262
62	435	255
63	441	248
64	447	240
65	453	233
66	459	226
67	467	219
68	473	212
69	479	205
70	485	198
71	491	191
72	495	183
73	514	180
74	520	173
75	526	166
76	533	159
77	539	152
78	546	145
79	551	137
80	557	130
81	563	123
82	568	116
83	574	109
84	581	102
85	587	95
86	592	88
87	598	81
88	605	74
89	610	67
90	615	60
91	620	53
92	625	47
93	630	40
94	635	33
95	638	26
96	641	19
97	645	13
98	649	6
99	652	0
